title_uias,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget.1,age_restr
Гоголь. Вий,1100779,Гоголь. Вий,,"Писарь из Санкт-Петербурга Николай Гоголь бросает вызов загадочному тёмному Всаднику, который жестоко расправляется с девушками в окрестностях села Диканька. Собрав команду из местного полицейского, пьяницы-доктора, суеверного кузнеца и странствующего философа-экзорциста, Гоголь пытается заманить злодея в ловушку, но на его пути встает самое жуткое порождение нечистой силы — Вий, один взгляд которого способен высосать душу смертного. Неожиданно для себя Гоголь выясняет, что с потусторонними силами его связывают не только таинственные видения.",2018,Россия,«Не выходи из круга»,"Александр Петров, Евгений Стычкин, Таисия Вилкова, Артем Ткаченко, Сергей Бадюк, Ян Цапник, Алексей Вертков, Марта Тимофеева, Юлия Франц, Ксения Разина",Егор Баранов,"Алексей Чупов, Наташа Меркулова","Александр Цекало, Артур Джанибекян, Валерий Федорович",Сергей Трофимов,Райан Оттер,"Елена Жукова, Алиса Доник, Виктория Игумнова",Александр Иванов,"детектив, приключения, драма",{},None,None,None,7403878,7471349,,6.291,39524,None,None,99,None,,,,FALSE,(),13 июля 2018,5 апреля 2018,None :,$7 471 349,None
Рэмпейдж,666865,Рэмпейдж,Rampage,"Приматолог Дэвис Окойи предпочитает держаться подальше от людей и дружит с Джорджем, удивительно умным самцом гориллы, которого он воспитывал с самого рождения. Но вышедший из-под контроля генетический эксперимент превращает послушную обезьяну в яростного монстра. Более того, вскоре обнаруживается, что существуют и другие модифицированные хищники. Пока свежесозданные чудовища превращают в руины Северную Америку, стирая с лица Земли все, что попадается у них на пути, Окойи вместе с опальным генным инженером пытается изобрести антидот, прорываясь по бесконечному полю боя, не только чтобы предотвратить глобальную катастрофу, но и спасти бесстрашное существо, которое когда-то было его другом.",2018,США,"«Больше, чем скала»","Дуэйн Джонсон, Наоми Харрис, Малин Акерман, Джеффри Дин Морган, Джейк Лэси, Джо Манганьелло, Марли Шелтон, П.Дж. Бирн, Деметриус Гросс, Джек Куэйд",Брэд Пейтон,"Райан Ингл, Карлтон Кьюз, Райан Кондал","Ричард Бренер, Майкл Диско, Тоби Эммерих",Джарон Пресан,Эндрю Локингтон,"Бэрри Чусид, Лорел Бергман, Эллиотт Глик","Боб Дюксе, Джим Мэй","фантастика, боевик, приключения",{},120000000,None,101028233,None,428028233,,6.15,42066,None,None,107,None,,,,FALSE,(),11 апреля 2018,12 апреля 2018,1.44 млн,$120 000 000,None
Тренер,981230,Тренер,,"Футболист национальной сборной Юрий Столешников в ответственный момент не забивает пенальти. После досадной ошибки Столешников покидает сборную, завершает карьеру и становится тренером маленькой провинциальной команды. Именно с этим клубом Столешникову предстоит совершить чудо и вновь поверить в себя.",2018,Россия,,"Данила Козловский, Владимир Ильин, Андрей Смоляков, Ольга Зуева, Ирина Горбачева, Виктор Вержбицкий, Мария Лобанова, Павел Ворожцов, Александр Ильин мл., Александр Обласов",Данила Козловский,"Данила Козловский, Андрей Золотарев, Сергей Четверухин","Данила Козловский, Петр Ануров, Леонид Верещагин",Федор Лясс,Олег Карпачев,"Сергей Агин, Варя Авдюшко",Мария Лихачева,"драма, спорт",{},None,None,None,13993287,13821095,,6.771,54791,None,None,138,None,,,,FALSE,(),20 апреля 2018,19 апреля 2018,None :,$13 821 095,None
Мстители: Война бесконечности,843649,Мстители: Война бесконечности,Avengers: Infinity War,"Пока Мстители и их союзники продолжают защищать мир от различных опасностей, с которыми не смог бы справиться один супергерой, новая угроза возникает из космоса: Танос. Межгалактический тиран преследует цель собрать все шесть Камней Бесконечности — артефакты невероятной силы, с помощью которых можно менять реальность по своему желанию. Всё, с чем Мстители сталкивались ранее, вело к этому моменту — судьба Земли никогда ещё не была столь неопределённой.",2018,США,«An entire universe. Once and for all»,"Роберт Дауни мл., Крис Хемсворт, Марк Руффало, Крис Эванс, Скарлетт Йоханссон, Дон Чидл, Бенедикт Камбербэтч, Том Холланд, Чедвик Боузман, Зои Салдана","Энтони Руссо, Джо Руссо","Джим Старлин, Кристофер Маркус, Стивен МакФили","Виктория Алонсо, Митчелл Белл, Эри Коста",Трент Опалок,Алан Сильвестри,"Чарльз Вуд, Джим Барр, Томас Браун","Джеффри Форд, Мэттью Шмидт","фантастика, боевик, приключения",{},321000000,None,678815482,34793936,2048359754,,7.882,222616,None,None,149,None,,,,FALSE,(),23 апреля 2018,3 мая 2018,None,$321 000 000,None
Дэдпул 2,961715,Дэдпул 2,Deadpool 2,"Единственный и неповторимый болтливый наемник вернулся! Ещё более масштабный, ещё более разрушительный и даже ещё более голозадый чем прежде! Когда в его жизнь врывается суперсолдат с убийственной миссией, Дэдпул вынужден задуматься о дружбе, семье и о том, что на самом деле значит быть героем, попутно надирая 50 оттенков задниц. Потому что иногда, чтобы делать хорошие вещи, нужно использовать грязные приёмчики.",2018,США,«Беда не приходит одна»,"Райан Рейнольдс, Джош Бролин, Морена Баккарин, Джулиан Деннисон, Зази Битц, ТиДжей Миллер, Лесли Аггамс, Каран Сони, Брианна Хилдебранд, Джек Кеси",Дэвид Литч,"Ретт Риз, Пол Верник, Райан Рейнольдс","Саймон Кинберг, Стэн Ли, Джонатан Комак Мартин",Джонатан Села,Тайлер Бейтс,"Давид Шойнеман, Роджер Файрес, Дэн Хермансен","Крэйг Элперт, Майкл МакКаскер, Элизабет Рональдсдоттир","фантастика, боевик, комедия, приключения",{},110000000,None,318491426,21985670,734546611,,7.362,158234,None,None,119,None,,,,FALSE,(),1 мая 2018,17 мая 2018,None,$110 000 000,"зрителям, достигшим 18 лет"
Мир Юрского периода 2,924311,Мир Юрского периода 2,Jurassic World: Fallen Kingdom,"На острове Нублар, где не так давно располагался парк развлечений с динозаврами, правит бал дикая природа, но внезапно пробудившийся вулкан угрожает стереть динозавров с лица земли. Бывшая управляющая парком Клэр Диринг переквалифицировалась в защитницу исчезающих видов и пытается сделать всё, чтобы спасти доисторических животных. На неё выходит Илай Миллс — доверенное лицо миллиардера Бенждамина Локвуда, который много лет назад был соратником профессора Хаммонда. Миллс предлагает Клэр, знакомой с системой безопасности парка, поехать на остров и помочь ему поймать нескольких особей, чтобы вывести их на другой безопасный остров. Клэр даже удается уговорить своего бывшего парня, дрессировщика Оуэена, принять участие в спасательной миссии, но по прибытии в парк, выясняется, что у Миллса совсем другие цели.",2018,США,«Жизнь нельзя остановить»,"Крис Пратт, Брайс Даллас Ховард, Рейф Сполл, Джастис Смит, Даниэлла Пинеда, Джеймс Кромуэлл, Тоби Джонс, Тед Левайн, Джефф Голдблюм, Б.Д. Вонг",Хуан Антонио Байона,"Дерек Коннолли, Колин Треворроу, Майкл Крайтон","Белен Атьенса, Патрик Краули, Томас Хэйслип",Оскар Фаура,Майкл Джаккино,"Энди Николсон, Гай Брэдли, Эндрю Макс Кан",Бернат Вилаплана,"фантастика, боевик, приключения",{},170000000,None,417719760,19495685,1308467944,,6.172,64652,None,None,128,None,,,,FALSE,(),21 мая 2018,7 июня 2018,None,$170 000 000,"зрителям, достигшим 12 лет"
Суперсемейка 2 / Бао,839650,Суперсемейка 2,Incredibles 2,"После событий первой части суперсемейка пользуется повышенным вниманием со стороны журналистов. Неожиданно оказалось, что обаятельная Миссис Исключительная гораздо лучше смотрится на экране телевизора, чем её муж. Мистеру Исключительному все чаще приходится сидеть дома и приглядывать за детьми, у каждого из которых есть свои причины быть недовольным собственными суперспособностями. Однако семейным проблемам предстоит отступить на второй план, когда окажется, что спокойствию Суперсемейки угрожает новый могущественный враг.",2018,США,"«Its been too long, dahlings»","Крэйг Т. Нельсон, Холли Хантер, Сара Вауэлл, Хак Милнер, Кэтрин Кинер, Илай Фучиле, Боб Оденкёрк, Сэмюэл Л. Джексон, Майкл Бёрд, София Буш",Брэд Бёрд,Брэд Бёрд,"Джон Лассетер, Николь Паради Гриндл, Джон Уокер","Махьяр Абусаеди, Эрик Смитт",Майкл Джаккино,"Ральф Эгглстон, Джош Холтсклоу",Стефен Шаффер,"мультфильм, фантастика, боевик, комедия, приключения, семейный",{},200000000,None,608581744,15541152,1242805359,,7.334,69832,None,None,118,None,,,,FALSE,(),5 июня 2018,14 июня 2018,None,$200 000 000,None
Человек-муравей и Оса,935940,Человек-муравей и Оса,Ant-Man and the Wasp,"Скотт Лэнг, известный также как Человек-муравей, уже заслужил право оказаться в команде Мстителей. Но желание быть ближе к дочери удерживает его в родном Сан-Франциско — до тех пор, пока доктор Хэнк Пим, создавший когда-то изменяющий размеры своего владельца чудо-костюм, не призывает Скотта присоединиться к новой опасной миссии. А помогать в противостоянии с коварным врагом Человеку-муравью будет новая напарница — Оса.",2018,США,«Real heroes. Not actual size»,"Пол Радд, Эванджелин Лилли, Майкл Дуглас, Ханна Джон-Кэймен, Майкл Пенья, Лоренс Фишбёрн, Уолтон Гоггинс, Ти-Ай, Давид Дастмалчян, Мишель Пфайффер",Пейтон Рид,"Крис МакКенна, Эрик Соммерс, Пол Радд","Виктория Алонсо, Митчелл Белл, Стивен Бруссар",Данте Спинотти,Кристоф Бек,"Шеперд Франкель, Рэйчел Блок, Майкл Е. Голдман","Дэн Лебентал, Крэйг Вуд","фантастика, боевик, комедия, приключения",{},162000000,None,216648740,12800960,622674139,,6.893,93067,None,None,118,None,,,,FALSE,(),25 июня 2018,5 июля 2018,None,$162 000 000,None
Монстры на каникулах 3: Море зовёт,950968,Монстры на каникулах 3: Море зовёт,Hotel Transylvania 3: Summer Vacation,"На этот раз Дракула вместе со своими друзьями отправляется в круиз на шикарном лайнере. Развлечения там на любой вкус: от монстробаскетбола и экзотических экскурсий, до лунных ванн. Неожиданно Дракула влюбляется в капитана корабля — загадочную и прекрасную Эрику, и его дочка Мэвис понимает, что поездка может превратиться в кошмар: ведь Эрика хранит ужасный секрет, который ставит под угрозу существование всех монстров!",2018,"США, Корея Южная",«Любишь ужасы? Проведи отпуск с семьёй!»,"Адам Сэндлер, Энди Сэмберг, Селена Гомес, Кевин Джеймс, Фрэн Дрешер, Стив Бушеми, Молли Шеннон, Дэвид Спейд, Кигэн-Майкл Ки, Джим Гэффиган",Генндий Тартаковский,"Генндий Тартаковский, Майкл МакКаллерс","Мишель Мурдокка, Кэри Смит, Mandy Tankenson",,"Марк Мазерсбо, DJ Тиесто","Скотт Уиллс, Кристиан Шеллеуолд",Джойс Аррастья,"мультфильм, фэнтези, комедия, приключения, семейный",{},80000000,None,167510016,19344289,528583774,,6.552,43296,None,None,97,None,,,,FALSE,(),13 июня 2018,12 июля 2018,6.2 млн,$167 510 016,None
Миссия невыполнима: Последствия,926540,Миссия невыполнима: Последствия,Mission: Impossible - Fallout,"После того, как агент ЦРУ Итан Хант поймал Соломона Лейна, его последователи, называющие себя «Апостолы» пытаются совершить ядерную катастрофу, заполучив украденный плутоний. Упустив их в Берлине, Итан должен решить, что важнее: жизнь его друзей или жизнь миллиардов?",2018,"США, Китай, Франция, Норвегия, Великобритания",«Когда миссия не оставляет выбора»,"Том Круз, Генри Кавилл, Винг Реймз, Саймон Пегг, Ребекка Фергюсон, Шон Харрис, Анджела Бассетт, Ванесса Кирби, Мишель Монахэн, Уэс Бентли",Кристофер МакКуорри,"Брюс Геллер, Кристофер МакКуорри","Джей Джей Абрамс, Рафаэль Бенолье, Пер Генри Борх",Роберт Харди,Лорн Бэлф,"Питер Венхам, Джилл Кормак, Мэттью Грэй",Эдди Хэмилтон,"боевик, триллер, приключения",{},178000000,None,220159104,8739527,791115104,,7.194,67432,None,None,147,None,,,,FALSE,(),12 июля 2018,26 июля 2018,None,$178 000 000,None
Мег: Монстр глубины,918627,Мег: Монстр глубины,The Meg,"Глубоководный батискаф, осуществляющий наблюдение в рамках международной программы по изучению подводной жизни, был атакован огромным существом, которое все считали давно вымершим. Неисправный аппарат теперь лежит на дне глубочайшей впадины Тихого океана… с оказавшимся в ловушке экипажем. Их время на исходе. Китайский океанограф-новатор, несмотря на протесты его дочери Суинь, зовет спасателя-подводника Джонаса Тейлора, чтобы тот помог спасти команду и океан от невиданной угрозы — доисторической 23-метровой акулы, мегалодона. Никто и подумать не мог, что много лет назад Тейлор уже сталкивался с этим чудовищным созданием.",2018,"США, Китай",«Кушать подано!»,"Джейсон Стэйтем, Ли Бинбин, Рэйн Уилсон, Клифф Кёртис, Уинстон Чао, Шуя Софиа Цай, Руби Роуз, Пейдж Кеннеди, Роберт Тейлор, Оулавюр Дарри Оулафссон",Джон Тёртлтауб,"Дин Георгарис, Джон Хобер, Эрих Хобер","Кеннет Этчити, Белль Эйвери, Чэнь Цзе",Том Стерн,Гарри Грегсон-Уильямс,"Грант Мейджор, Роберт Бэвин, Джилл Кормак","Стивен Кемпер, Келли Мацумото","ужасы, фантастика, боевик, триллер",{},130000000,None,145443742,13213015,530243742,,5.884,44577,None,None,113,None,,,,FALSE,(),8 августа 2018,9 августа 2018,None,$130 000 000,None
Альфа,934956,Альфа,Alpha,"20 000 лет назад Земля была холодным и неуютным местом, в котором смерть подстерегала человека на каждом шагу, а жизнь зависела от того, удалось загнать добычу или нет. Молодой охотник из племени, которое по уровню жизни и культуры было одним из самых развитых на планете, оказывается один на один с враждебным миром, полным смертельных опасностей. Ему предстоит взглянуть в лицо своим страхам и найти дорогу домой. И, возможно, от исхода его путешествия зависит судьба всего человечества.",2018,США,"«История дружбы, изменившей мир»","Коди Смит-Макфи, Йоуханнес Хёйкьюр Йоуханнессон, Марцин Ковальчик, Йенс Хультен, Наташа Мальте, Спенсер Богерт, Мерседес Де Ла Зерда, Леонор Варела, Морган Фриман, Chuck",Альберт Хьюз,"Daniele Sebastian Wiedenhaupt, Альберт Хьюз","Альберт Хьюз, Эндрю Рона, Сью Баден-Поуелл",Мартин Гшлахт,"Джозеф С. ДеБези, Майкл Стернс","Джон Виллетт, Крис Фармер, Анджела ОСалливан",Сандра Грановски,"драма, приключения, семейный",{},51000000,None,35857181,9443420,98203196,,6.579,33977,None,None,96,None,,,,FALSE,(),16 августа 2018,23 августа 2018,None,$51 000 000,None
Гоголь. Страшная месть,1114917,Гоголь. Страшная месть,,"Две сотни лет назад малороссийские хутора разоряла шайка нехристей-ляхов во главе с могущественным колдуном. С тех пор рыщет в окрестностях Диканьки неизвестный Чёрный Всадник, ловит молодых девушек и жестоко расправляется с ними, будто мстит за что. И следующей его жертвой может стать Лиза. Чтобы спасти возлюбленную, писарь Николай Гоголь должен разбить злые чары и победить древнее проклятье. Ни одному из смертных ещё не удавалось это, но к счастью, на помощь Гоголю приходит гениальный столичный сыщик Яков Гуро, и у него уже есть главный подозреваемый…",2018,Россия,«Начни с финала»,"Александр Петров, Олег Меньшиков, Евгений Стычкин, Артем Сучков, Таисия Вилкова, Юлия Франц, Ян Цапник, Евгений Сытый, Сергей Бадюк, Артем Ткаченко",Егор Баранов,"Наташа Меркулова, Алексей Чупов, Александр Цекало","Александр Цекало, Артур Джанибекян, Валерий Федорович",Сергей Трофимов,Райан Оттер,"Елена Жукова, Максим Сергеев, Алиса Доник",Александр Иванов,"детектив, приключения, триллер",{},None,None,None,7119330,7141571,,6.444,30525,None,None,106,None,,,,FALSE,(),9 сентября 2018,30 августа 2018,None :,$7 141 571,None
